model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,catergory_mileage,catergory_year,catergory_tax
Kona,2019.0,20990.0,Semi-Auto,16.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
I10,2017.0,6295.0,Manual,30195.0,Petrol,145.0,60.1,1.0,30000>40000,2015>2020,100>150
Tucson,2019.0,19995.0,Manual,10385.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
I30,2017.0,10995.0,Manual,11249.0,Petrol,30.0,56.5,1.0,10000>20000,2015>2020,<100
I10,2017.0,8495.0,Semi-Auto,31564.0,Petrol,145.0,47.9,1.2,30000>40000,2015>2020,100>150
I800,2018.0,14495.0,Manual,37902.0,Diesel,145.0,37.7,2.5,30000>40000,2015>2020,100>150
Ioniq,2019.0,19495.0,Automatic,4328.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2019.0,17995.0,Automatic,4454.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2018.0,17995.0,Semi-Auto,2191.0,Petrol,150.0,39.8,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,12991.0,Manual,10320.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
Tucson,2018.0,16040.0,Automatic,38183.0,Diesel,145.0,57.7,1.7,30000>40000,2015>2020,100>150
I30,2017.0,10999.0,Manual,18539.0,Diesel,145.0,78.4,1.6,10000>20000,2015>2020,100>150
I30,2016.0,8999.0,Manual,53878.0,Diesel,20.0,72.4,1.6,50000>60000,2015>2020,<100
SantaFe,2019.0,32750.0,Automatic,4995.0,Diesel,145.0,39.8,2.2,0<10000,2015>2020,100>150
Tucson,2018.0,14995.0,Manual,10465.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
I800,2018.0,13992.0,Manual,39010.0,Diesel,145.0,37.7,2.5,30000>40000,2015>2020,100>150
I800,2017.0,14777.0,Manual,29100.0,Diesel,300.0,37.7,2.5,20000>30000,2015>2020,>200
Tucson,2015.0,11050.0,Manual,26499.0,Diesel,30.0,61.7,1.7,20000>30000,2010>2015,<100
Tucson,2018.0,14995.0,Manual,18423.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Kona,2018.0,16995.0,Manual,76.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,16995.0,Manual,8359.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I20,2017.0,9995.0,Manual,23372.0,Petrol,20.0,62.8,1.0,20000>30000,2015>2020,<100
Tucson,2019.0,22995.0,Manual,2361.0,Hybrid,145.0,48.7,1.6,0<10000,2015>2020,100>150
I30,2019.0,16995.0,Manual,2511.0,Petrol,145.0,42.2,1.4,0<10000,2015>2020,100>150
Ioniq,2019.0,23995.0,Automatic,7865.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I10,2019.0,8995.0,Manual,2198.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2018.0,8295.0,Manual,10224.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
I30,2015.0,8995.0,Manual,29900.0,Diesel,20.0,72.4,1.6,20000>30000,2010>2015,<100
Tucson,2017.0,13995.0,Manual,13330.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
I30,2017.0,11990.0,Manual,15882.0,Petrol,150.0,52.3,1.4,10000>20000,2015>2020,100>150
Tucson,2018.0,14500.0,Manual,14427.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
I20,2019.0,10200.0,Manual,9748.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
Tucson,2017.0,15991.0,Semi-Auto,34755.0,Diesel,125.0,57.6,1.7,30000>40000,2015>2020,100>150
Tucson,2017.0,14420.0,Semi-Auto,28979.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
I10,2014.0,5794.0,Manual,18724.0,Petrol,20.0,60.1,1.0,10000>20000,2010>2015,<100
IX35,2013.0,7776.0,Manual,47232.0,Diesel,200.0,48.7,2.0,40000>50000,2010>2015,150>200
Tucson,2018.0,18200.0,Semi-Auto,9545.0,Petrol,150.0,39.8,1.6,0<10000,2015>2020,100>150
Tucson,2018.0,18200.0,Semi-Auto,9545.0,Petrol,150.0,39.8,1.6,0<10000,2015>2020,100>150
I10,2017.0,6950.0,Manual,33000.0,Petrol,145.0,57.7,1.2,30000>40000,2015>2020,100>150
IX20,2017.0,9750.0,Manual,12689.0,Petrol,145.0,50.4,1.4,10000>20000,2015>2020,100>150
I800,2019.0,18995.0,Automatic,15927.0,Diesel,145.0,28.0,2.5,10000>20000,2015>2020,100>150
I30,2018.0,10575.0,Manual,17774.0,Petrol,145.0,56.5,1.0,10000>20000,2015>2020,100>150
Tucson,2018.0,17350.0,Automatic,16500.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
I10,2016.0,6250.0,Manual,17497.0,Petrol,20.0,61.4,1.0,10000>20000,2015>2020,<100
Tucson,2017.0,15490.0,Automatic,28354.0,Diesel,150.0,46.3,2.0,20000>30000,2015>2020,100>150
I20,2016.0,6990.0,Manual,46164.0,Diesel,20.0,68.9,1.4,40000>50000,2015>2020,<100
Kona,2018.0,14490.0,Manual,19793.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
I20,2017.0,9990.0,Manual,20677.0,Petrol,145.0,58.9,1.0,20000>30000,2015>2020,100>150
Tucson,2018.0,14990.0,Manual,12492.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,14990.0,Manual,12720.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,14500.0,Manual,13934.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,14600.0,Manual,15139.0,Petrol,150.0,44.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2018.0,16990.0,Automatic,12306.0,Hybrid,140.0,78.5,1.6,10000>20000,2015>2020,100>150
I10,2020.0,8990.0,Manual,2000.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2019.0,8290.0,Manual,2738.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I30,2018.0,18490.0,Manual,29225.0,Petrol,150.0,34.0,2.0,20000>30000,2015>2020,100>150
Tucson,2019.0,16990.0,Manual,5000.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I10,2018.0,8450.0,Manual,12668.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
I800,2018.0,15990.0,Automatic,34605.0,Diesel,145.0,28.0,2.5,30000>40000,2015>2020,100>150
IX20,2017.0,9490.0,Manual,6380.0,Petrol,145.0,50.4,1.4,0<10000,2015>2020,100>150
I30,2019.0,17490.0,Manual,3750.0,Petrol,145.0,42.2,1.4,0<10000,2015>2020,100>150
I40,2019.0,19490.0,Semi-Auto,2450.0,Diesel,145.0,53.3,1.6,0<10000,2015>2020,100>150
IX20,2019.0,12490.0,Manual,3850.0,Petrol,145.0,37.2,1.6,0<10000,2015>2020,100>150
Kona,2018.0,18290.0,Semi-Auto,11446.0,Petrol,145.0,42.2,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,22990.0,Semi-Auto,10.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
I30,2019.0,24990.0,Manual,3000.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
I10,2019.0,8990.0,Manual,3000.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
Tucson,2016.0,11490.0,Manual,52549.0,Diesel,30.0,61.7,1.7,50000>60000,2015>2020,<100
Tucson,2016.0,15990.0,Semi-Auto,43362.0,Diesel,125.0,57.6,1.7,40000>50000,2015>2020,100>150
Tucson,2019.0,17500.0,Semi-Auto,15644.0,Petrol,150.0,36.2,1.6,10000>20000,2015>2020,100>150
Kona,2018.0,16995.0,Manual,19.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
IX20,2017.0,9390.0,Manual,14962.0,Diesel,145.0,64.2,1.6,10000>20000,2015>2020,100>150
I10,2017.0,6490.0,Manual,30193.0,Petrol,145.0,60.1,1.0,30000>40000,2015>2020,100>150
I10,2016.0,7250.0,Manual,23552.0,Petrol,30.0,57.6,1.2,20000>30000,2015>2020,<100
SantaFe,2019.0,29990.0,Semi-Auto,9993.0,Diesel,145.0,42.8,2.2,0<10000,2015>2020,100>150
Kona,2018.0,12490.0,Manual,10452.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Kona,2018.0,13490.0,Manual,24239.0,Petrol,145.0,52.3,1.0,20000>30000,2015>2020,100>150
Kona,2018.0,12790.0,Manual,18984.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
Tucson,2019.0,15790.0,Manual,17970.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I10,2018.0,9200.0,Semi-Auto,29700.0,Petrol,150.0,47.9,1.2,20000>30000,2015>2020,100>150
I20,2019.0,9890.0,Manual,14925.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Ioniq,2018.0,18799.0,Automatic,11165.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
I10,2018.0,7890.0,Manual,4500.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,17500.0,Semi-Auto,13136.0,Petrol,150.0,36.2,1.6,10000>20000,2015>2020,100>150
I20,2019.0,10990.0,Manual,11435.0,Petrol,150.0,46.3,1.2,10000>20000,2015>2020,100>150
Kona,2018.0,17495.0,Manual,19.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2017.0,18899.0,Automatic,23679.0,Diesel,150.0,47.1,2.0,20000>30000,2015>2020,100>150
Tucson,2017.0,15730.0,Semi-Auto,9191.0,Diesel,125.0,57.6,1.7,0<10000,2015>2020,100>150
I30,2016.0,8417.0,Manual,26199.0,Petrol,145.0,48.7,1.4,20000>30000,2015>2020,100>150
Tucson,2017.0,13095.0,Manual,26596.0,Petrol,145.0,44.8,1.6,20000>30000,2015>2020,100>150
I30,2018.0,10733.0,Manual,38366.0,Petrol,145.0,56.5,1.0,30000>40000,2015>2020,100>150
Tucson,2017.0,13700.0,Manual,33110.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I30,2017.0,11990.0,Manual,16570.0,Petrol,150.0,52.3,1.4,10000>20000,2015>2020,100>150
Tucson,2019.0,18990.0,Manual,508.0,Diesel,145.0,48.7,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,20490.0,Semi-Auto,4011.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
I10,2019.0,8990.0,Manual,1222.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
Kona,2018.0,18990.0,Semi-Auto,10167.0,Petrol,145.0,42.2,1.6,10000>20000,2015>2020,100>150
I10,2019.0,8990.0,Manual,3000.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
IX20,2016.0,6990.0,Manual,38186.0,Diesel,30.0,64.2,1.6,30000>40000,2015>2020,<100
Tucson,2018.0,14990.0,Manual,12964.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,22000.0,Semi-Auto,5000.0,Petrol,150.0,36.2,1.6,0<10000,2015>2020,100>150
Kona,2020.0,14990.0,Manual,3500.0,Petrol,150.0,44.1,1.0,0<10000,2015>2020,100>150
Kona,2018.0,14800.0,Manual,5357.0,Petrol,150.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2018.0,16990.0,Manual,10309.0,Petrol,150.0,35.3,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,14795.0,Manual,29000.0,Diesel,150.0,61.4,1.7,20000>30000,2015>2020,100>150
I30,2017.0,11995.0,Semi-Auto,19000.0,Petrol,145.0,51.4,1.4,10000>20000,2015>2020,100>150
I10,2019.0,9295.0,Manual,7000.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,20990.0,Manual,8045.0,Hybrid,145.0,51.4,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,17490.0,Manual,8009.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Kona,2019.0,15990.0,Manual,7842.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,15799.0,Manual,11958.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Ioniq,2019.0,17699.0,Automatic,9337.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I10,2017.0,6699.0,Manual,18600.0,Petrol,30.0,57.6,1.2,10000>20000,2015>2020,<100
I20,2019.0,13750.0,Automatic,358.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
Tucson,2017.0,14499.0,Manual,15679.0,Diesel,145.0,61.7,1.7,10000>20000,2015>2020,100>150
I800,2018.0,16699.0,Automatic,33943.0,Diesel,145.0,28.0,2.5,30000>40000,2015>2020,100>150
Tucson,2017.0,17899.0,Manual,8256.0,Diesel,125.0,58.9,2.0,0<10000,2015>2020,100>150
Tucson,2019.0,17490.0,Semi-Auto,17452.0,Petrol,150.0,36.2,1.6,10000>20000,2015>2020,100>150
I10,2018.0,8995.0,Semi-Auto,25968.0,Petrol,150.0,47.9,1.2,20000>30000,2015>2020,100>150
Tucson,2015.0,13369.0,Manual,29083.0,Diesel,125.0,58.9,2.0,20000>30000,2010>2015,100>150
I20,2019.0,13290.0,Manual,3000.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
Kona,2018.0,15990.0,Manual,9001.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
I30,2019.0,23990.0,Manual,4462.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
I10,2015.0,5000.0,Manual,42692.0,Petrol,20.0,61.4,1.0,40000>50000,2010>2015,<100
I20,2014.0,4993.0,Manual,42545.0,Petrol,30.0,57.6,1.2,40000>50000,2010>2015,<100
Tucson,2019.0,24990.0,Automatic,2324.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
Kona,2019.0,19990.0,Automatic,165.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
Kona,2019.0,20990.0,Automatic,144.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
I800,2018.0,17990.0,Automatic,36501.0,Diesel,145.0,28.0,2.5,30000>40000,2015>2020,100>150
I20,2019.0,9890.0,Manual,12545.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
I20,2019.0,9699.0,Manual,17084.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
I20,2019.0,9699.0,Manual,17516.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Tucson,2016.0,13690.0,Manual,39002.0,Diesel,145.0,54.3,2.0,30000>40000,2015>2020,100>150
Tucson,2016.0,13990.0,Manual,23190.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I10,2016.0,7990.0,Semi-Auto,15047.0,Petrol,145.0,47.9,1.2,10000>20000,2015>2020,100>150
I30,2016.0,8990.0,Manual,33466.0,Diesel,0.0,78.4,1.6,30000>40000,2015>2020,<100
SantaFe,2019.0,29290.0,Semi-Auto,4721.0,Diesel,145.0,39.8,2.2,0<10000,2015>2020,100>150
I30,2019.0,17690.0,Manual,4765.0,Petrol,145.0,42.2,1.4,0<10000,2015>2020,100>150
Kona,2019.0,17990.0,Semi-Auto,4461.0,Diesel,145.0,52.3,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,15999.0,Semi-Auto,11247.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
I800,2018.0,14900.0,Manual,38984.0,Diesel,150.0,37.7,2.5,30000>40000,2015>2020,100>150
I10,2019.0,8000.0,Manual,14002.0,Petrol,150.0,60.1,1.0,10000>20000,2015>2020,100>150
I10,2018.0,8650.0,Manual,9170.0,Petrol,150.0,57.7,1.2,0<10000,2015>2020,100>150
I20,2019.0,10590.0,Manual,8195.0,Petrol,150.0,46.3,1.2,0<10000,2015>2020,100>150
Ioniq,2017.0,15190.0,Automatic,20005.0,Hybrid,140.0,78.5,1.6,20000>30000,2015>2020,100>150
Tucson,2019.0,17850.0,Semi-Auto,4779.0,Petrol,150.0,36.2,1.6,0<10000,2015>2020,100>150
I10,2018.0,8690.0,Manual,21368.0,Petrol,150.0,57.6,1.2,20000>30000,2015>2020,100>150
Tucson,2018.0,20900.0,Automatic,15327.0,Diesel,145.0,43.5,2.0,10000>20000,2015>2020,100>150
Tucson,2019.0,26490.0,Semi-Auto,2617.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
I20,2017.0,8990.0,Manual,18440.0,Petrol,150.0,62.8,1.0,10000>20000,2015>2020,100>150
I10,2016.0,5690.0,Manual,33589.0,Petrol,20.0,60.1,1.0,30000>40000,2015>2020,<100
I10,2018.0,7040.0,Manual,9661.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I30,2015.0,7560.0,Manual,33830.0,Diesel,0.0,78.4,1.6,30000>40000,2010>2015,<100
I10,2015.0,6497.0,Manual,22020.0,Petrol,30.0,57.6,1.2,20000>30000,2010>2015,<100
Tucson,2017.0,12490.0,Manual,17310.0,Diesel,145.0,61.7,1.7,10000>20000,2015>2020,100>150
I10,2017.0,7464.0,Manual,29880.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
IX20,2016.0,7484.0,Manual,53220.0,Petrol,125.0,50.4,1.4,50000>60000,2015>2020,100>150
Tucson,2019.0,18100.0,Semi-Auto,15630.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
I40,2019.0,17990.0,Semi-Auto,8651.0,Diesel,145.0,53.3,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,23490.0,Manual,8641.0,Hybrid,145.0,47.9,1.6,0<10000,2015>2020,100>150
I20,2016.0,9999.0,Manual,16263.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
Ioniq,2019.0,21495.0,Semi-Auto,3103.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2017.0,16595.0,Automatic,20513.0,Hybrid,135.0,78.5,1.6,20000>30000,2015>2020,100>150
Kona,2018.0,17495.0,Manual,76.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
I10,2015.0,6899.0,Manual,18405.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
I20,2019.0,9699.0,Manual,16295.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Kona,2018.0,17495.0,Manual,30.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Kona,2018.0,17495.0,Manual,18.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
I10,2017.0,6690.0,Manual,27821.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
Kona,2020.0,21320.0,Manual,1.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
IX20,2015.0,6890.0,Manual,29731.0,Petrol,125.0,50.4,1.4,20000>30000,2010>2015,100>150
I30,2014.0,7100.0,Manual,45616.0,Petrol,165.0,46.0,1.4,40000>50000,2010>2015,150>200
Tucson,2017.0,13399.0,Manual,10248.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
I10,2016.0,6699.0,Manual,10499.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
SantaFe,2019.0,30999.0,Automatic,10035.0,Diesel,145.0,42.8,2.2,10000>20000,2015>2020,100>150
I10,2017.0,7290.0,Manual,5082.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,15799.0,Manual,12763.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
I20,2019.0,12050.0,Manual,11435.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Tucson,2019.0,16400.0,Manual,17970.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Kona,2018.0,15850.0,Manual,5357.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,17500.0,Semi-Auto,13084.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,16295.0,Automatic,34719.0,Diesel,145.0,47.1,2.0,30000>40000,2015>2020,100>150
I20,2019.0,11450.0,Manual,5000.0,Petrol,145.0,47.9,1.0,0<10000,2015>2020,100>150
I10,2019.0,9390.0,Manual,2000.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2019.0,9575.0,Manual,50.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I20,2018.0,9695.0,Manual,5000.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I10,2018.0,8190.0,Manual,2451.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I20,2018.0,9895.0,Manual,5000.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I20,2018.0,9690.0,Manual,9070.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
Kona,2018.0,12500.0,Manual,29920.0,Petrol,145.0,52.3,1.0,20000>30000,2015>2020,100>150
I10,2020.0,12750.0,Manual,5000.0,Petrol,145.0,56.5,1.0,0<10000,2015>2020,100>150
I30,2017.0,9650.0,Manual,18027.0,Petrol,145.0,48.7,1.4,10000>20000,2015>2020,100>150
I20,2019.0,11495.0,Manual,5000.0,Petrol,145.0,47.9,1.0,0<10000,2015>2020,100>150
SantaFe,2019.0,40365.0,Semi-Auto,1.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
I20,2020.0,14400.0,Manual,1.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I30,2019.0,27800.0,Manual,1.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
I10,2018.0,7490.0,Manual,13303.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2019.0,19990.0,Automatic,2000.0,Hybrid,135.0,62.8,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,22750.0,Automatic,2000.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
SantaFe,2020.0,36995.0,Semi-Auto,5000.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
I10,2019.0,7990.0,Manual,5000.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2019.0,7990.0,Manual,5000.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2018.0,15500.0,Manual,30210.0,Diesel,145.0,61.4,1.7,30000>40000,2015>2020,100>150
Tucson,2020.0,24495.0,Semi-Auto,5000.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
Tucson,2020.0,22750.0,Manual,3500.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,24990.0,Semi-Auto,3500.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
SantaFe,2018.0,19099.0,Semi-Auto,31350.0,Diesel,145.0,42.8,2.2,30000>40000,2015>2020,100>150
I10,2016.0,6650.0,Manual,13500.0,Petrol,20.0,60.1,1.0,10000>20000,2015>2020,<100
SantaFe,2017.0,19495.0,Manual,26711.0,Diesel,200.0,47.1,2.2,20000>30000,2015>2020,150>200
Ioniq,2019.0,22995.0,Automatic,6500.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Kona,2019.0,20500.0,Automatic,5000.0,Hybrid,135.0,52.3,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,15790.0,Manual,13076.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I20,2019.0,12480.0,Manual,3111.0,Petrol,145.0,47.9,1.0,0<10000,2015>2020,100>150
I10,2019.0,9380.0,Manual,3215.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,22480.0,Semi-Auto,2951.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,21990.0,Manual,2326.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,23480.0,Semi-Auto,7469.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,14980.0,Manual,12206.0,Petrol,145.0,35.3,1.6,10000>20000,2015>2020,100>150
Ioniq,2018.0,18690.0,Automatic,7725.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
I30,2019.0,17790.0,Manual,2451.0,Petrol,145.0,42.2,1.4,0<10000,2015>2020,100>150
Tucson,2019.0,21380.0,Semi-Auto,2812.0,Hybrid,145.0,50.4,1.6,0<10000,2015>2020,100>150
I10,2017.0,7700.0,Manual,24437.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I10,2016.0,6700.0,Semi-Auto,39063.0,Petrol,150.0,47.9,1.2,30000>40000,2015>2020,100>150
Tucson,2017.0,13795.0,Manual,22173.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2019.0,20250.0,Semi-Auto,25.0,Petrol,145.0,36.2,1.6,0<10000,2015>2020,100>150
I30,2017.0,12350.0,Manual,16570.0,Petrol,145.0,52.3,1.4,10000>20000,2015>2020,100>150
I30,2017.0,12400.0,Manual,15814.0,Petrol,145.0,52.3,1.4,10000>20000,2015>2020,100>150
Tucson,2018.0,15450.0,Manual,14427.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,15550.0,Manual,12492.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,15500.0,Manual,12720.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,15450.0,Manual,13915.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,15650.0,Manual,15139.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
I30,2019.0,23990.0,Manual,500.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
Tucson,2019.0,20875.0,Semi-Auto,1348.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
I30,2019.0,14990.0,Manual,2562.0,Petrol,145.0,45.6,1.4,0<10000,2015>2020,100>150
IX20,2017.0,9450.0,Manual,15773.0,Petrol,145.0,50.4,1.4,10000>20000,2015>2020,100>150
I30,2017.0,9995.0,Manual,22521.0,Petrol,145.0,56.5,1.0,20000>30000,2015>2020,100>150
I20,2017.0,7995.0,Manual,49081.0,Petrol,20.0,62.8,1.0,40000>50000,2015>2020,<100
I20,2016.0,7995.0,Manual,18777.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
Ioniq,2019.0,21995.0,Automatic,9852.0,Hybrid,140.0,78.5,1.6,0<10000,2015>2020,100>150
I20,2016.0,6795.0,Manual,54325.0,Petrol,30.0,55.4,1.2,50000>60000,2015>2020,<100
Tucson,2017.0,18495.0,Semi-Auto,12980.0,Diesel,150.0,57.7,1.7,10000>20000,2015>2020,100>150
I20,2016.0,7495.0,Manual,34720.0,Petrol,30.0,55.4,1.2,30000>40000,2015>2020,<100
IX35,2015.0,9795.0,Manual,54076.0,Diesel,165.0,51.4,2.0,50000>60000,2010>2015,150>200
Tucson,2017.0,13995.0,Semi-Auto,40097.0,Diesel,150.0,57.6,1.7,40000>50000,2015>2020,100>150
Kona,2019.0,17495.0,Manual,4672.0,Petrol,150.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2015.0,13995.0,Manual,60230.0,Diesel,200.0,47.9,2.0,>60000,2010>2015,150>200
